Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Failure,HF_1,Discharge instructions,94,249,3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Failure,HF_1,Discharge instructions,76,71,3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Failure,HF_2,Evaluation of LVS Function,100,633,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Failure,HF_2,Evaluation of LVS Function,99,169,,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Failure,HF_2,Evaluation of LVS Function,100,360,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Failure,HF_2,Evaluation of LVS Function,99,1375,,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Failure,HF_2,Evaluation of LVS Function,100,371,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Failure,HF_3,ACEI or ARB for LVSD,98,203,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Failure,HF_3,ACEI or ARB for LVSD,100,62,,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Failure,HF_3,ACEI or ARB for LVSD,100,76,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Failure,HF_3,ACEI or ARB for LVSD,97,73,3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Failure,HF_3,ACEI or ARB for LVSD,97,93,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_2,Immunization for influenza,94,534,2 - Data submitted were based on a sample of cases/patients.,10/1/13,3/31/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Preventive Care,IMM_2,Immunization for influenza,98,452,2 - Data submitted were based on a sample of cases/patients.,10/1/13,3/31/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Preventive Care,IMM_2,Immunization for influenza,99,469,2 - Data submitted were based on a sample of cases/patients.,10/1/13,3/31/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Preventive Care,IMM_2,Immunization for influenza,90,605,2 - Data submitted were based on a sample of cases/patients.,10/1/13,3/31/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Preventive Care,IMM_2,Immunization for influenza,95,511,2 - Data submitted were based on a sample of cases/patients.,10/1/13,3/31/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Preventive Care,IMM_3_FAC_ADHPCT,Healthcare workers given influenza vaccination,56,3754,,10/1/13,3/31/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Preventive Care,IMM_3_FAC_ADHPCT,Healthcare workers given influenza vaccination,87,1243,,10/1/13,3/31/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Preventive Care,IMM_3_FAC_ADHPCT,Healthcare workers given influenza vaccination,99,2305,,10/1/13,3/31/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Preventive Care,IMM_3_FAC_ADHPCT,Healthcare workers given influenza vaccination,72,9331,,10/1/13,3/31/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Preventive Care,IMM_3_FAC_ADHPCT,Healthcare workers given influenza vaccination,80,2810,,10/1/13,3/31/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,Not Available,0,3 - Results are based on a shorter time period than required. 7 - No cases met the criteria for this measure.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,Not Available,0,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,Not Available,0,3 - Results are based on a shorter time period than required. 7 - No cases met the criteria for this measure.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,OP_1,Median Time to Fibrinolysis,Not Available,0,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,0,3 - Results are based on a shorter time period than required. 7 - No cases met the criteria for this measure.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,0,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,0,3 - Results are based on a shorter time period than required. 7 - No cases met the criteria for this measure.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,OP_2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Not Available,0,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,5 - Results are not available for this reporting period.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,0,3 - Results are based on a shorter time period than required. 7 - No cases met the criteria for this measure.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,0,7 - No cases met the criteria for this measure.,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,1 - The number of cases/patients is too few to report. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,OP_3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,100,14,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,Not Available,Not Available,1 - The number of cases/patients is too few to report.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,OP_4,Aspirin at Arrival,100,24,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Heart Attack or Chest Pain,OP_5,Median Time to ECG,Not Available,Not Available,1 - The number of cases/patients is too few to report. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Heart Attack or Chest Pain,OP_5,Median Time to ECG,Not Available,Not Available,1 - The number of cases/patients is too few to report. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Heart Attack or Chest Pain,OP_5,Median Time to ECG,8,17,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Heart Attack or Chest Pain,OP_5,Median Time to ECG,8,12,,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Heart Attack or Chest Pain,OP_5,Median Time to ECG,7,25,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,100,454,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,95,41,,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,99,386,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,98,1447,,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Surgical Care Improvement Project,OP_6,Prophylactic Antibiotic Initiated Within One Hour Prior to Surgical Incision,97,319,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,100,454,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,92,40,,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,100,386,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,99,1456,,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Surgical Care Improvement Project,OP_7,Prophylactic Antibiotic Selection for Surgical Patients,98,320,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Pregnancy and Delivery Care,PC_01,Percent of newborns whose deliveries were scheduled early (1-3 weeks early) when a scheduled delivery was not medically necessary,0,28,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Pregnancy and Delivery Care,PC_01,Percent of newborns whose deliveries were scheduled early (1-3 weeks early) when a scheduled delivery was not medically necessary,0,28,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Pregnancy and Delivery Care,PC_01,Percent of newborns whose deliveries were scheduled early (1-3 weeks early) when a scheduled delivery was not medically necessary,4,53,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Pregnancy and Delivery Care,PC_01,Percent of newborns whose deliveries were scheduled early (1-3 weeks early) when a scheduled delivery was not medically necessary,3,100,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Pregnancy and Delivery Care,PC_01,Percent of newborns whose deliveries were scheduled early (1-3 weeks early) when a scheduled delivery was not medically necessary,3,32,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,99,191,,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,100,68,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,97,210,,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,92,186,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Pneumonia,PN_6,Initial antibiotic selection for CAP in immunocompetent patient,99,185,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,97,211,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,100,66,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,93,83,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,99,472,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Surgical Care Improvement Project,SCIP_CARD_2,Surgery Patients on a Beta Blocker Prior to Arrival Who Received a Beta Blocker During the Perioperative Period,98,267,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,99,338,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,100,194,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,100,163,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,100,816,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
490018,AUGUSTA HEALTH,78 MEDICAL CENTER DRIVE,FISHERSVILLE,VA,22939,AUGUSTA,5409324000,Surgical Care Improvement Project,SCIP_INF_1,Prophylactic antibiotic received within 1 hour prior to surgical incision,99,857,,10/1/13,9/30/14
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,100,391,2 - Data submitted were based on a sample of cases/patients.,10/1/13,9/30/14
50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,5107826200,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,100,66,2 - Data submitted were based on a sample of cases/patients. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE,DALTON,GA,30720,WHITFIELD,7062726105,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,100,74,2 - Data submitted were based on a sample of cases/patients. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
330005,KALEIDA HEALTH,726 EXCHANGE STREET SUITE 522,BUFFALO,NY,14210,ERIE,7168598620,Surgical Care Improvement Project,SCIP_INF_10,Surgery Patients with Perioperative Temperature Management,100,229,2 - Data submitted were based on a sample of cases/patients. 3 - Results are based on a shorter time period than required.,10/1/13,9/30/14
